ああ	アー	1
ああ	アア	1
ああ	アー	0
ああ	アア	0
嗚呼	アー	1
嗚呼	アア	1
アーク灯	アークトー	0
アーク灯	アークトウ	0
アーケード	アーケード	1
アーケード	アーケード	3
アース	アース	1
アーチ	アーチ	1
アーチェリー	アーチェリー	1
アーチスト	アーチスト	1
アート	アート	1
アーバンライフ	アーバンライフ	5
アーム	アーム	1
アーム	アーム	0
アーメン	アーメン	0
アーメン	アーメン	1
アーモンド	アーモンド	1
アーモンド	アーモンド	3
アール	アール	1
アールヌーボー	アールヌーボー	4
愛	アイ	1
相	アイ	1
相	ソー	1
相	ソウ	1
間	アイ	1
間	アイダ	0
間	カン	1
間	マ	0
あい	アイ	1
藍	アイ	1
合い	アイ	1
相合い傘	アイアイガサ	5
アイアン	アイアン	0
アイアン	アイアン	1
愛育	アイイク	0
相いれない	アイイレナイ	1
相いれない	アイ・イレナイ	1
相いれない	アイイレナイ	1
相容れない	アイイレナイ	1
相容れない	アイ・イレナイ	1
相容れない	アイイレナイ	1
あい色	アイイロ	0
藍色	アイイロ	0
合い印	アイイン	0
合い印	アイジルシ	3
愛飲	アイイン	0
相打ち	アイウチ	0
愛煙家	アイエンカ	0
合い縁奇縁	アイエンキエン	5
相生い	アイオイ	0
哀歌	アイカ	1
合いかぎ	アイカギ	4
合いかぎ	アイカギ	2
合い鍵	アイカギ	4
合い鍵	アイカギ	2
相方	アイカタ	0
相方	アイカタ	4
合方	アイカタ	0
合方	アイカタ	4
あいがも	アイガモ	3
合鴨	アイガモ	3
間鴨	アイガモ	3
相変わらず	アイカワラズ	0
哀感	アイカン	0
哀歓	アイカン	0
哀願	アイガン	3
愛がん	アイガン	3
愛玩	アイガン	3
合着	アイギ	3
合着	アイギ	3
合気道	アイキドー	3
合気道	アイキドウ	3
相客	アイキャク	0
愛きょう	アイキョー	4
愛きょう	アイキョウ	4
愛敬	アイキョー	4
愛敬	アイキョウ	4
愛嬌	アイキョー	4
愛嬌	アイキョウ	4
間狂言	アイキョーゲン	4
間狂言	アイキョウゲン	4
愛郷心	アイキョーシン	4
愛郷心	アイキョウシン	4
愛きょう者	アイキョーモノ	0
愛きょう者	アイキョウモノ	0
愛きょう者	アイキョーモノ	7
愛きょう者	アイキョウモノ	7
愛敬者	アイキョーモノ	0
愛敬者	アイキョウモノ	0
愛敬者	アイキョーモノ	7
愛敬者	アイキョウモノ	7
愛嬌者	アイキョーモノ	0
愛嬌者	アイキョウモノ	0
